"","GENDER","EDU_FATHER","EDU_MOTHER","OCC_FATHER","OCC_MOTHER","STRATUM","SISBEN","PEOPLE_HOUSE","INTERNET","TV","COMPUTER","WASHING_MCH","MIC_OVEN","CAR","DVD","FRESH","PHONE","MOBILE","REVENUE","JOB","SCHOOL_NAT","SCHOOL_TYPE","MAT_S11","CR_S11","CC_S11","BIO_S11","ENG_S11","ACADEMIC_PROGRAM","QR_PRO","CR_PRO","CC_PRO","ENG_PRO","WC_PRO","FEP_PRO","G_SC","PERCENTILE","X2ND_DECILE","QUARTILE","SEL","SEL_IHE","AVG_S11"
"1","F","Incomplete Professional Education","Complete technique or technology","Technical or professional level employee","Home","Stratum 4","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","ACADEMIC",71,81,61,86,82,"INDUSTRIAL ENGINEERING",71,93,71,93,79,181,180,91,"5","4","2","2",76.2
"2","F","Complete Secundary","Complete professional education","Entrepreneur","Independent professional","Stratum 5","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",83,75,66,100,88,"INDUSTRIAL ENGINEERING",97,38,86,98,78,201,182,92,"5","4","4","4",82.4
"3","M","Not sure","Not sure","Independent","Home","Stratum 2","Level 2","Five","No","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Between 1 and less than 2 LMMW","Yes, 20 hours or more per week","PRIVATE","ACADEMIC",52,49,38,46,42,"ELECTRONIC ENGINEERING",17,1,18,43,22,113,113,7,"1","1","1","1",45.4
"4","F","Not sure","Not sure","Other occupation","Independent","Stratum 2","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","No","PRIVATE","ACADEMIC",56,55,51,64,73,"INDUSTRIAL ENGINEERING",65,35,76,80,48,137,157,67,"4","3","2","2",59.8
"5","M","Complete professional education","Complete professional education","Executive","Home","Stratum 4","It is not classified by the SISBEN","One","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Between 7 and less than 10 LMMW","No","PRIVATE","ACADEMIC",80,65,76,85,92,"INDUSTRIAL ENGINEERING",94,94,98,100,71,189,198,98,"5","4","4","2",79.6
"6","F","Complete professional education","Complete professional education","Independent","Executive","Stratum 6","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",71,60,57,61,82,"INDUSTRIAL ENGINEERING",86,15,32,97,36,170,154,63,"4","3","4","2",66.2
"7","M","Complete professional education","Complete professional education","Small entrepreneur","Executive","Stratum 5","It is not classified by the SISBEN","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","10 or more LMMW","No","PRIVATE","ACADEMIC",71,75,61,75,85,"INDUSTRIAL ENGINEERING",68,8,50,92,53,187,152,59,"3","3","2","2",73.4
"8","F","Incomplete Secundary","Complete Secundary","Entrepreneur","Independent professional","Stratum 6","It is not classified by the SISBEN","Five","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","10 or more LMMW","No","PRIVATE","ACADEMIC",74,67,61,85,96,"INDUSTRIAL ENGINEERING",97,86,94,97,98,188,200,99,"5","4","4","4",76.6
"9","M","Complete Secundary","Complete professional education","Independent","Operator","Stratum 2","It is not classified by the SISBEN","Three","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Between 1 and less than 2 LMMW","No","PRIVATE","TECHNICAL",44,54,61,44,46,"INDUSTRIAL ENGINEERING",51,57,43,3,19,177,133,28,"2","2","3","2",49.8
"10","M","Incomplete technical or technological","Incomplete technical or technological","Independent","Home","Stratum 2","Level 2","Four","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Between 2 and less than 3 LMMW","Yes, 20 hours or more per week","PRIVATE","ACADEMIC",52,55,51,55,65,"INDUSTRIAL ENGINEERING",13,41,22,83,1,112,126,18,"1","1","4","2",55.6
